Codigo,Descripcion,Precio,Rubro
3235,CAJA 2 DIN EXT.KALOP,480007,
3150,CAJA 20 DIN EMB.EMANAL,2384305,
3152,CAJA 20 DIN EXT.EMANAL,3409780,
3242,CAJA 24 DIN EMB.WELT,3664514,
3377,CAJA 24 DIN EXT.WELT,4413943,
1488,CAJA 32 DIN EXT.EMANAL,5589716,
3237,CAJA 36 DIN EMB.STECK,6447485,
10000,CAJA 4 DIN EMB.EMANAL,851477,
1014,CAJA 4 DIN EMB.VARIPLAST,490050,
3241,CAJA 4 DIN EMB.WELT,987850,
3243,CAJA 4 DIN EXT.KALOP,600039,
10088,CAJA 6 DIN EMB.EMANAL,1120944,
10089,CAJA 6 DIN EXT.EMANAL,1888205,
3240,CAJA 8 DIN EMB.VARIPLAST,352836,
3234,CAJA 8 DIN EMB.WELT,1493662,
3250,CAJA 8 DIN EXT.WELT,1771683,
1027,CAJA 9 DIN EXT.STARBOX,280958,
3020,CAJA CABLE CANAL C/FONDO,110110,
8015,CAJA CAPSULADA C/TOMA MIG,550066,
1002,CAJA CAPSULADA TAAD DOBLE,330917,
10019,CAJA CAPSULADA TAAD SIMPLE,199950,
3170,CAJA CAPSULADA VACIA 16A,345424,
3174,CAJA CAPSULADA VACIA 32A,461173,
CC60A,CAJA CONEXION 60A C/BASES NH CONEXTUBE,9000672,
3185,CAJA CONEXION TRIF.63A P/BASE NH PVC,4424897,
3190,CAJA ESTANCO 115X115X110 TAAD,273978,
6037,CAJA ESTANCO 115X115X50 TAAD,205720,
10021,CAJA ESTANCO 115X115X80 TAAD,239849,
3191,CAJA ESTANCO 165X125X80 TAAD,606259,
3335,CAJA ESTANCO 75X75X35 TAAD,128457,
3192,CAJA ESTANCO 75X75X55 TAAD,145521,
3355,CAJA ESTANCO 90X90X55 TAAD,171118,
10037,CAJA ESTANCO 90X90X75 TAAD,197188,
13105,CAJA ESTANCO CIRCULAR TAAD,183577,
3228,CAJA HIERRO 10X10 EMB.,207272,
1021,CAJA HIERRO 10X10 PESADA EMB.,248557,
3229,CAJA HIERRO MIGNON EMB.,52151,
3226,CAJA HIERRO OCT.CHICA EMB.,52151,
3227,CAJA HIERRO OCT.GRANDE EMB.,176092,
3224,CAJA HIERRO PROFUNDA 10X5 EMB.,188210,
3230,CAJA HIERRO PROFUNDA OCTOGONAL EMB.,132273,
3225,CAJA HIERRO RECTANGULAR EMB.,52151,
CH11416,CAJA INDUSTRIAL 11TM + 4X16 FORLI,5070791,
CH216,CAJA INDUSTRIAL 2X16 FORLI,2387004,
3182,CAJA INSPECCION,171373,
3245,CAJA MEDIDOR MONOFASICA PVC,1635920,
3184,CAJA MEDIDOR TRIFASICA PVC,3270025,
3259,CAJA PASO GENROD 210X210X165,1665928,
3247,CAJA PASO WELT 100X100X100,438833,
3249,CAJA PASO WELT 100X100X70,388378,
3248,CAJA PASO WELT 150X110X70,566913,
3257,CAJA PASO WELT 190X140X70,972719,
3258,CAJA PASO WELT 240X190X100,1705132,
13041,CAJA PASO WELT 300X220X120,2207855,
3246,CAJA PASO WELT REDONDA C/TAPA,280115,
CPAA,CAJA PREINSTALACION AIRE ACONDICIONADO,559020,
1022,CAJA PVC 10X5 EMB.GENROD,61798,
13092,CAJA PVC CUADRADA 10X10 EMB.,149344,
10130,CAJA PVC MIGNON EMB.CONEXTUBE,97508,
3260,CAJA PVC OCT.CHICA EMB.,43802,
3261,CAJA PVC OCT.GRANDE EMB.,149852,
3291,CAJA PVC RECTANGULAR EMB.,43802,
BT20,"CAJA TIPO ""T"" P/CAÑO 20MM",193659,
SH26,CAJITA FELIZ DIA X2 VELAS,265561,
1020,CALEFON ELECTRICO 20 LTS,1215808,
2061,CALOVENTOR ELECTRICO 1000W/2000W,3350006,
CS01,CAMARA SEGURIDAD INTERIOR WIFI IPC-ZAS02,4900500,
13049,CAMPANA ALARMA 10CM 220V C/TRAFO,5861966,
3255,CAMPANA ALARMA 15CM 220V C/TRAFO,6448090,
15225,CAMPANA AZUL ACRILICA E27 31CM,1403013,
3406BCO-NG,CAMPANA VENTILADOR BCO/NG,2335542,
3406BRONCE,CAMPANA VENTILADOR BRONCE,2641618,
3251,CAMPANILLA EXTERIOR 10X10,2491390,
"1,5UF","CAPACITOR 1,5UF 450V",289448,
10UF,CAPACITOR 10UF 450V,702946,
"12,5UF","CAPACITOR 12,5UF 450V",756185,
14UF,CAPACITOR 14UF 450V,836242,
16UF,CAPACITOR 16UF 450V,1028856,
18UF,CAPACITOR 18UF 450V,1063996,
"2,5UF","CAPACITOR 2,5UF 450V",316662,
20UF,CAPACITOR 20UF 450V,1135467,
22UF,CAPACITOR 22UF 450V,1216713,
25UF,CAPACITOR 25UF 450V,1402060,
2UF,CAPACITOR 2UF 450V,300281,
"3,15UF","CAPACITOR 3,15UF 450V",436748,
30UF,CAPACITOR 30UF 450V,1667465,
